Sum of COUNT,Column Labels,,,,
Row Labels,ASSAULT W/DANGEROUS WEAPON,HOMICIDE,ROBBERY,SEX ABUSE,Grand Total
A0001001,3,,2,1,6
A0001002,3,,10,2,15
A0001003,7,,8,2,17
A0001004,31,,36,7,74
A0002011,1,,5,4,10
A0002021,7,1,6,6,20
A0002022,1,1,15,1,18
A0002023,19,,23,9,51
A0002024,24,1,20,11,56
A0003001,11,,8,3,22
A0003002,2,,,,2
A0003003,3,,1,,4
A0003004,2,,,1,3
A0004001,,,1,2,3
A0004002,,5,1,,6
A0005011,1,,6,2,9
A0005012,13,,8,3,24
A0005021,4,,10,,14
A0005022,3,,5,2,10
A0006001,6,,,,6
A0006002,4,,7,2,13
A0006003,,,6,,6
A0006004,1,,2,,3
A0007011,2,,4,,6
A0007012,,,1,2,3
A0007014,3,,,,3
A0007021,,1,3,,4
A0007022,,,,2,2
A0007023,,,3,,3
A0008011,1,,3,,4
A0008013,2,,1,2,5
A0008014,4,,1,,5
A0008021,1,,,,1
A0008022,,,1,,1
A0009011,5,,2,1,8
A0009012,,,2,,2
A0009013,1,,7,4,12
A0009021,1,,1,,2
A0009022,3,,6,,9
A0010011,8,,12,2,22
A0010012,13,,20,3,36
A0010013,,,3,,3
A0010014,5,,8,,13
A0010015,,,1,,1
A0010016,,,4,,4
A0010022,3,,2,4,9
A0010023,11,,4,1,16
A0011001,8,,19,,27
A0011002,2,,9,,11
A0011003,4,,13,1,18
A0011004,10,,37,,47
A0012001,9,,2,3,14
A0012002,,,7,,7
A0012003,1,,7,1,9
A0012004,5,,11,,16
A0013012,1,,,,1
A0013021,2,,5,,7
A0013022,4,,5,,9
A0013023,6,,1,6,13
A0014011,1,,2,,3
A0014012,,,3,1,4
A0014021,,,2,,2
A0014022,,,3,,3
A0014023,,,2,,2
A0015001,2,1,,,3
A0015002,,,3,,3
A0015003,,,1,1,2
A0015004,2,,,,2
A0015005,,,2,,2
A0016001,3,,15,,18
A0016002,15,,31,2,48
A0016003,,,4,,4
A0016004,5,,7,,12
A0017021,18,1,44,,63
A0017022,11,1,37,2,51
A0018031,7,1,21,2,31
A0018032,5,,58,4,67
A0018041,4,1,21,,26
A0018042,57,,78,9,144
A0018043,14,1,37,1,53
A0019011,4,,12,6,22
A0019012,7,,20,3,30
A0019013,13,1,32,,46
A0019014,8,1,17,2,28
A0019021,10,1,10,,21
A0019022,7,,15,,22
A0020011,14,2,27,2,45
A0020012,6,,42,2,50
A0020021,18,,40,1,59
A0020022,31,3,54,10,98
A0020023,52,2,82,6,142
A0021011,14,,11,3,28
A0021012,21,2,24,4,51
A0021013,13,,14,,27
A0021014,18,4,30,4,56
A0021015,33,1,51,8,93
A0021021,5,,6,1,12
A0021022,12,,22,2,36
A0021023,12,,14,4,30
A0021024,14,1,20,2,37
A0021025,6,,12,1,19
A0021026,12,,14,1,27
A0022011,10,3,23,1,37
A0022012,27,2,32,2,63
A0022013,13,,12,2,27
A0022021,36,,48,3,87
A0022022,29,2,16,3,50
A0022023,3,,11,1,15
A0023011,6,1,11,4,22
A0023012,24,,19,1,44
A0023021,24,,15,11,50
A0024001,10,,14,4,28
A0024002,12,1,38,3,54
A0024003,11,1,17,3,32
A0024004,5,,14,,19
A0025011,25,,69,6,100
A0025012,11,,29,3,43
A0025021,34,1,47,3,85
A0025022,25,1,50,3,79
A0025023,14,,40,3,57
A0025024,24,1,56,7,88
A0026001,3,,5,2,10
A0026002,,,15,3,18
A0027011,2,,5,2,9
A0027012,4,1,25,5,35
A0027013,2,,8,1,11
A0027014,3,,6,1,10
A0027021,44,2,45,6,97
A0027022,12,,28,1,41
A0027023,,,12,1,13
A0028011,22,2,31,2,57
A0028012,29,4,80,11,124
A0028021,65,3,121,5,194
A0028022,41,2,94,6,143
A0029001,8,1,50,1,60
A0029002,31,1,82,4,118
A0030001,34,,85,4,123
A0030002,41,1,63,4,109
A0031001,89,5,136,7,237
A0032001,8,1,13,3,25
A0032002,12,1,17,,30
A0032003,38,,30,5,73
A0032004,15,,26,5,46
A0033011,6,,26,1,33
A0033012,6,,29,,35
A0033013,8,1,18,3,30
A0033021,4,2,33,4,43
A0033022,21,5,37,1,64
A0034001,41,,28,1,70
A0034002,31,1,98,9,139
A0035001,40,7,81,4,132
A0035002,36,,52,7,95
A0036001,7,,35,2,44
A0036002,10,1,21,3,35
A0036003,31,3,73,2,109
A0037001,11,,18,2,31
A0037002,43,1,61,4,109
A0037003,14,,35,6,55
A0038001,9,2,41,10,62
A0038002,7,,21,3,31
A0038003,26,2,36,2,66
A0039001,5,1,13,1,20
A0039002,8,1,9,3,21
A0039003,10,,22,1,33
A0039004,,,11,,11
A0040011,13,,29,2,44
A0040012,,,3,,3
A0040013,1,,9,,10
A0040021,30,,39,11,80
A0040022,10,,19,2,31
A0040023,1,,16,,17
A0041001,7,1,6,12,26
A0041002,3,,3,,6
A0041003,5,,10,2,17
A0042011,7,,21,4,32
A0042012,9,,27,2,38
A0042021,4,,18,5,27
A0042022,6,,17,3,26
A0043001,43,2,43,6,94
A0043002,24,1,36,6,67
A0044001,19,,103,7,129
A0044002,94,5,263,18,380
A0046001,93,3,68,7,171
A0046002,33,2,66,3,104
A0047011,21,2,13,2,38
A0047012,40,4,41,3,88
A0047021,51,2,84,11,148
A0048011,44,2,95,10,151
A0048021,7,1,30,2,40
A0048022,16,3,36,6,61
A0049011,26,3,32,1,62
A0049012,36,1,59,2,98
A0049021,21,2,27,3,53
A0049022,31,,59,7,97
A0050011,9,,39,,48
A0050012,7,1,22,2,32
A0050021,1,,11,2,14
A0050022,8,,15,4,27
A0050023,2,2,17,1,22
A0050024,15,,9,9,33
A0052011,11,,11,5,27
A0052012,4,,33,4,41
A0052013,24,,30,8,62
A0052014,12,,31,2,45
A0053011,3,,4,,7
A0053012,7,,20,3,30
A0053013,6,,10,2,18
A0053014,16,,17,4,37
A0055001,40,,53,7,100
A0055002,10,,8,1,19
A0055003,21,1,26,11,59
A0055004,9,,15,4,28
A0055005,4,,8,1,13
A0056001,10,,16,6,32
A0056002,7,,8,1,16
A0056003,6,,5,2,13
A0056004,13,,6,4,23
A0058001,91,2,190,17,300
A0058002,42,,77,7,126
A0059001,83,4,76,33,196
A0062021,24,3,45,22,94
A0064001,64,4,43,3,114
A0064002,39,3,19,3,64
A0065001,9,,25,,34
A0065002,2,,12,2,16
A0066001,4,,42,4,50
A0067001,8,,25,2,35
A0067002,2,,18,1,21
A0067003,6,,32,2,40
A0068011,20,,56,6,82
A0068012,10,,20,2,32
A0068021,10,,18,3,31
A0068022,5,1,36,2,44
A0068041,69,,7,27,103
A0069001,17,,55,,72
A0069002,8,,60,,68
A0070001,3,,35,1,39
A0070002,20,1,72,5,98
A0071001,16,1,21,5,43
A0071002,42,4,88,3,137
A0072001,13,4,27,7,51
A0072002,37,2,49,5,93
A0073011,1,,,,1
A0073041,124,10,133,11,278
A0073042,32,2,35,7,76
A0073043,41,4,39,3,87
A0074011,85,9,116,9,219
A0074012,59,6,47,4,116
A0074031,101,12,73,9,195
A0074041,42,3,46,1,92
A0074042,35,2,45,,82
A0074043,65,9,38,5,117
A0074061,30,4,46,6,86
A0074062,100,17,108,17,242
A0074071,29,,31,3,63
A0074072,69,10,50,6,135
A0074081,131,15,80,15,241
A0074091,21,,17,1,39
A0074092,56,4,22,3,85
A0074093,72,6,44,12,134
A0075021,84,15,53,10,162
A0075022,97,9,77,3,186
A0075031,79,14,140,10,243
A0075032,77,2,41,3,123
A0075041,182,15,88,30,315
A0076011,35,6,84,6,131
A0076012,21,,19,4,44
A0076013,79,5,40,5,129
A0076014,71,5,32,6,114
A0076015,33,2,18,3,56
A0076031,36,5,68,10,119
A0076032,22,,52,,74
A0076033,13,1,13,,27
A0076034,13,,35,,48
A0076041,49,2,30,5,86
A0076042,34,3,40,8,85
A0076043,24,,21,4,49
A0076051,5,,8,1,14
A0076052,34,4,38,1,77
A0076053,39,10,24,9,82
A0077031,29,1,51,,81
A0077032,25,1,20,1,47
A0077033,134,9,91,13,247
A0077034,17,1,26,1,45
A0077071,130,8,78,8,224
A0077072,44,2,45,1,92
A0077081,42,2,35,6,85
A0077082,62,3,58,14,137
A0077091,43,2,31,8,84
A0077092,33,,22,4,59
A0078031,102,3,145,11,261
A0078032,25,,20,2,47
A0078033,18,1,62,,81
A0078034,40,2,44,6,92
A0078041,51,2,59,5,117
A0078042,86,16,99,11,212
A0078043,29,,68,7,104
A0078061,57,4,59,8,128
A0078062,65,5,77,6,153
A0078071,53,5,51,9,118
A0078072,57,6,70,6,139
A0078081,98,10,67,5,180
A0078082,63,9,70,3,145
A0078083,32,,26,4,62
A0078091,66,6,31,8,111
A0078092,43,3,57,10,113
A0079011,65,9,59,6,139
A0079012,23,1,27,,51
A0079013,51,2,12,6,71
A0079014,94,6,68,6,174
A0079031,65,,76,5,146
A0080011,15,6,25,,46
A0080012,14,,38,,52
A0080013,2,4,18,,24
A0080021,15,,36,,51
A0080022,10,1,39,1,51
A0081001,,,12,,12
A0081002,4,,11,,15
A0081003,,,7,,7
A0082001,,,8,1,9
A0082002,,,9,1,10
A0083011,6,,24,2,32
A0083012,2,,19,,21
A0083021,24,2,92,2,120
A0084021,58,,58,10,126
A0084022,16,1,54,3,74
A0084101,37,4,103,3,147
A0087011,32,2,48,4,86
A0087012,18,1,34,3,56
A0087021,40,4,46,5,95
A0087022,9,1,20,4,34
A0088021,47,,25,4,76
A0088022,66,3,81,3,153
A0088023,19,2,55,3,79
A0088024,40,1,32,6,79
A0088031,169,18,182,43,412
A0088041,44,3,34,3,84
A0088042,107,5,95,7,214
A0089031,68,4,50,4,126
A0089032,29,,13,1,43
A0089041,117,10,61,6,194
A0089042,77,8,86,7,178
A0090001,12,,14,8,34
A0090002,12,1,6,2,21
A0091021,23,2,42,2,69
A0091022,98,11,147,13,269
A0091023,48,4,19,5,76
A0092011,34,,48,9,91
A0092031,6,,25,,31
A0092032,29,4,41,5,79
A0092041,39,4,38,5,86
A0092042,41,3,53,4,101
A0093011,10,1,17,1,29
A0093012,21,,46,4,71
A0093013,10,1,21,2,34
A0093014,7,,19,,26
A0093021,35,2,49,4,90
A0094001,9,,18,,27
A0094002,27,,40,1,68
A0094003,10,,23,2,35
A0094004,2,,5,,7
A0095011,26,,33,2,61
A0095012,9,,15,4,28
A0095013,18,1,44,9,72
A0095031,17,2,25,1,45
A0095032,2,1,8,1,12
A0095033,2,,7,,9
A0095041,21,2,44,5,72
A0095042,14,,16,2,32
A0095051,14,2,16,2,34
A0095052,16,,4,4,24
A0095053,28,3,27,1,59
A0095071,15,3,19,2,39
A0095081,20,1,54,7,82
A0095082,9,,14,4,27
A0095083,5,,9,,14
A0095091,5,,5,1,11
A0095092,6,,13,,19
A0095093,4,,15,1,20
A0096011,153,11,128,10,302
A0096021,128,5,113,15,261
A0096022,6,,7,1,14
A0096031,58,1,73,3,135
A0096032,92,2,179,6,279
A0096033,75,,83,12,170
A0096041,31,1,31,2,65
A0096042,19,4,22,3,48
A0097001,82,8,50,10,150
A0097002,18,,29,1,48
A0098011,68,6,40,8,122
A0098021,6,1,1,,8
A0098022,30,2,18,7,57
A0098031,27,1,31,,59
A0098032,23,2,12,2,39
A0098033,41,12,19,6,78
A0098041,62,8,60,6,136
A0098042,35,2,47,3,87
A0098071,73,3,64,5,145
A0098072,61,13,64,6,144
A0098101,96,8,62,12,178
A0098102,25,1,10,1,37
A0098111,95,7,35,7,144
A0098112,89,13,56,12,170
A0099011,9,,10,1,20
A0099012,27,1,33,6,67
A0099021,15,,48,2,65
A0099022,24,,29,1,54
A0099031,36,4,21,1,62
A0099032,29,3,38,4,74
A0099041,22,3,31,8,64
A0099042,96,,62,7,165
A0099051,51,5,33,6,95
A0099052,28,2,20,2,52
A0099053,41,3,22,3,69
A0099061,59,7,96,5,167
A0099071,32,3,12,1,48
A0099072,100,18,55,5,178
A0101001,79,1,111,22,213
A0101002,21,,34,6,61
A0102001,10,,21,1,32
A0102002,33,2,60,8,103
A0103001,3,1,10,,14
A0103002,9,,10,5,24
A0103003,2,,18,,20
A0104001,103,7,148,14,272
A0104002,142,11,119,19,291
A0105001,30,,25,8,63
A0105002,2,,4,2,8
A0106001,11,,24,20,55
A0106002,108,6,238,20,372
A0106003,9,,27,2,38
A0107001,96,1,94,13,204
A0107002,73,,62,14,149
A0108001,12,,34,7,53
A0108002,12,,4,6,22
A0108003,2,,15,8,25
A0109001,50,7,27,8,92
A0109002,62,5,69,8,144
A0110001,4,,5,1,10
A0110002,,1,14,1,16
A0110003,4,,12,1,17
A0110004,13,,17,1,31
A0111001,82,1,105,10,198
A0111002,46,2,44,8,100
A0111003,79,3,79,6,167
Grand Total,12249,830,15718,1825,30622